Subject,Predicate,Fuzzy,Object
US1,Defines,0.57,以便拍摄出清晰、震撼的航拍照片和视频
US2,Defines,0.67,便在火灾现场进行空中侦查和监测火势的蔓延情况。
US3,Defines,0.93,便进行精确的植保喷洒工作，帮助防治农田病虫害。
US4,Defines,0.94,帮助检测电线杆的损坏和缺陷，并及时进行维修。
US5,Defines,0.71,便实时监测交通拥堵情况，并及时采取交通疏导措施。
US6,Defines,0.82,便在旅行中拍摄到壮丽的风景照片和视频。
US7,Defines,0.74,帮助进行地质勘探和勘察矿藏资源的工作。
US8,Defines,0.99,便进行搜救行动，并及时发现被困人员的位置。
US9,Defines,0.97,帮助检测建筑物外墙的损坏和结构安全性。
US10,Defines,0.5,便绘制出准确的地形地貌图和测量数据。
US11,Defines,0.54,帮助监测并预警地震、洪水等自然灾害的发生。
US12,Defines,0.43,便实时报道重大新闻事件和现场情况。
US13,Defines,0.37,帮助进行地质构造的勘探和研究工作。
US14,Defines,0.09,便收集和分析环境污染物的数据。
US15,Defines,0.22,帮助检测农田的作物生长情况和病虫害情况。
US16,Defines,0.13,帮助调查海洋生态系统和海底地貌。
US17,Defines,0.12,帮助收集和分析气象数据，提供准确的天气预报信息。
US18,Defines,0.01,帮助生成精确的城市地理信息和规划模型。
US19,Defines,0.76,便在海面上进行搜索和救援行动，并快速定位被困人员的位置。
US20,Defines,0.68,帮助监测森林火灾的风险和蔓延情况。
US21,Defines,0.07,便进行飞行器的性能测试和飞行控制系统的优化。
US22,Defines,0.38,帮助观测和研究海洋生物。
US23,Defines,0.43,便收集污染物的样本进行分析。
US25,Defines,0.3,辅助规划设计工作。
US26,Defines,0.1,提高安全监控的效果和范围。
US27,Defines,0.57,帮助实施精准农业管理。
US28,Defines,0.53,帮助检测电力设备的异常和隐患。
US29,Defines,0.1,帮助监测和应对海上油污事件。
US30,Defines,0.8,帮助研究和预测风暴的发展和路径。
US31,Defines,0.31,加强对海上安全的监控和巡逻。
US32,Defines,0.02,帮助快速评估地震损害情况。
US33,Defines,0.59,帮助及早发现和控制森林火灾。
US34,Defines,0.1,辅助城市巡逻和犯罪侦查工作。
US35,Defines,0.06,帮助监测和管理渔业资源。
US36,Defines,0.84,辅助环境保护工作。
US37,Defines,0.85,帮助监测和保护野生动物。
US38,Defines,0.48,便进行农作物的生长状况和营养需求分析。
US39,Defines,0.25,帮助监测水体质量和水生态系统的健康状况。
US41,Defines,0.88,帮助监测生态系统的变化和演化。
US42,Defines,0.35,帮助研究和管理海洋渔业资源。
US43,Defines,0.63,帮助监测和预警洪水灾害。
US44,Defines,0.58,帮助勘探和研究地下资源。
US45,Defines,0.3,帮助评估道路拥堵和优化交通规划。
US46,Defines,0.7,帮助及早控制森林火灾。
US47,Defines,0.93,帮助生成精确的建筑物模型和测量数据。
US48,Defines,0.81,帮助预警和救援工作。
US49,Defines,0.79,帮助监测和保护海洋生态系统的健康状况。
US50,Defines,0.55,帮助设计和评估城市景观项目。
US51,Defines,0.45,帮助监测和评估环境污染的程度。
US52,Defines,0.63,帮助生成精确的地图和地理数据。
US53,Defines,0.33,帮助评估农作物的损失和赔偿。
US54,Defines,0.51,帮助收集海洋气象数据和预测海洋天气变化。
US55,Defines,0.33,帮助监控港口安全和识别可疑活动。
US56,Defines,0.62,帮助检测电力设备的故障和热点。
US57,Defines,0.37,帮助监测和保护野生动物种群。
US58,Defines,0.64,帮助生成详细的城市地图和规划模型。
US59,Defines,0.05,帮助搜索和救援被困人员。
US60,Defines,0.81,帮助收集和分析环境中的气体和颗粒物。
US61,Defines,0.23,帮助监测交通流量和优化交通信号控制。
US62,Defines,0.12,帮助观测和研究海洋生物及其栖息地。
US63,Defines,0.49,辅助城市安全监控和事件应对。
US64,Defines,0.77,帮助实施精准农业和合理施肥。
US65,Defines,0.09,帮助检测电力设备的异常和故障。
US66,Defines,0.27,帮助收集海洋气象数据和研究气候变化。
US67,Defines,0.08,帮助监控船舶交通和维护港口安全。
US68,Defines,0.57,帮助监测和评估环境污染的程度和来源。
US69,Defines,0.46,帮助监测和保护水体的质量和生态系统。
US70,Defines,0.35,拍摄出精美的航拍照片和视频。
US71,Defines,0.59,帮助监测和保护野生动物物种。
US72,Defines,0.38,帮助生成精确的建筑物模型和测量数据。
US73,Defines,0.1,便快速、高效地运送重量较大的物品和货物。
US74,Defines,0.02,便进行农田的精准喷洒农药和肥料。
US75,Defines,0.28,搭载科学仪器和设备，帮助进行野生动物的研究和监测工作。
US76,Defines,0.4,便在灾害和紧急情况下进行救援和物资投送。
US77,Defines,0.1,帮助在高处进行建筑施工和维修。
US78,Defines,0.12,便拍摄高质量的航拍照片和影片。
US79,Defines,0.46,帮助进行地质勘探和研究工作。
US80,Defines,0.15,帮助进行海洋科学研究和监测。
US81,Defines,0.05,帮助进行电力设备的安装和维护工作。
US82,Defines,0.29,帮助监测环境污染和采集环境数据。
US83,Defines,0.58,搭载侦察设备和通信设备，帮助进行军事侦察和通信任务。
US84,Defines,0.73,便在火灾现场进行灭火和救援工作。
US85,Defines,0.06,帮助进行农田的数据采集和分析。
US86,Defines,0.68,帮助进行采矿作业和资源勘探。
