Subject,Predicate,Object,SubjectLabels,ObjectLabels,Fuzzy
需求,Defines,目标#1,User_Story,Goal,1.0
用户#1,Proposes,需求#1,User,Requirement,1.0
目标#1,Specifies,需求#1,Goal,Requirement,1.0
我希望无人机能够稳定飞行，并具备高分辨率摄像功能,Defines,目标#2,User_Story,Goal,1.0
用户#2,Proposes,需求#2,User,Requirement,1.0
目标#2,Specifies,需求#2,Goal,Requirement,1.0
我希望无人机具备快速起飞和灵活机动的能力,Defines,目标#3,User_Story,Goal,1.0
用户#3,Proposes,需求#3,User,Requirement,1.0
目标#3,Specifies,需求#3,Goal,Requirement,1.0
我希望无人机能够高空飞行,Defines,目标#4,User_Story,Goal,1.0
用户#4,Proposes,需求#4,User,Requirement,1.0
目标#4,Specifies,需求#4,Goal,Requirement,1.0
我需要无人机能够在复杂的电力线路中飞行,Defines,目标#5,User_Story,Goal,1.0
用户#5,Proposes,需求#5,User,Requirement,1.0
目标#5,Specifies,需求#5,Goal,Requirement,1.0
我希望无人机能够高空飞行，并具备高清摄像功能,Defines,目标#6,User_Story,Goal,1.0
用户#6,Proposes,需求#6,User,Requirement,1.0
目标#6,Specifies,需求#6,Goal,Requirement,1.0
我希望无人机具备长飞行时间和稳定的飞行控制,Defines,目标#7,User_Story,Goal,1.0
用户#7,Proposes,需求#7,User,Requirement,1.0
目标#7,Specifies,需求#7,Goal,Requirement,1.0
我需要无人机具备高精度定位和悬停能力,Defines,目标#8,User_Story,Goal,1.0
用户#8,Proposes,需求#8,User,Requirement,1.0
目标#8,Specifies,需求#8,Goal,Requirement,1.0
我希望无人机能够在恶劣环境下飞行,Defines,目标#9,User_Story,Goal,1.0
用户#9,Proposes,需求#9,User,Requirement,1.0
目标#9,Specifies,需求#9,Goal,Requirement,1.0
我需要无人机具备高空飞行和高分辨率摄像功能,Defines,目标#10,User_Story,Goal,1.0
用户#10,Proposes,需求#10,User,Requirement,1.0
目标#10,Specifies,需求#10,Goal,Requirement,1.0
我希望无人机能够进行精确的测量和制图工作,Defines,目标#11,User_Story,Goal,1.0
用户#11,Proposes,需求#11,User,Requirement,1.0
目标#11,Specifies,需求#11,Goal,Requirement,1.0
我需要无人机能够快速起飞和高空巡航,Defines,目标#12,User_Story,Goal,1.0
用户#12,Proposes,需求#12,User,Requirement,1.0
目标#12,Specifies,需求#12,Goal,Requirement,1.0
我希望无人机能够高空飞行，并搭载实时直播摄像功能,Defines,目标#13,User_Story,Goal,1.0
用户#13,Proposes,需求#13,User,Requirement,1.0
目标#13,Specifies,需求#13,Goal,Requirement,1.0
我需要无人机具备远程控制和自主飞行能力,Defines,目标#14,User_Story,Goal,1.0
用户#14,Proposes,需求#14,User,Requirement,1.0
目标#14,Specifies,需求#14,Goal,Requirement,1.0
我希望无人机能够高空飞行并具备空气采样功能,Defines,目标#15,User_Story,Goal,1.0
用户#15,Proposes,需求#15,User,Requirement,1.0
目标#15,Specifies,需求#15,Goal,Requirement,1.0
我需要无人机能够低空飞行并具备热成像摄像功能,Defines,目标#16,User_Story,Goal,1.0
用户#16,Proposes,需求#16,User,Requirement,1.0
目标#16,Specifies,需求#16,Goal,Requirement,1.0
我希望无人机能够在海面上飞行，并具备水下摄像功能,Defines,目标#17,User_Story,Goal,1.0
用户#17,Proposes,需求#17,User,Requirement,1.0
目标#17,Specifies,需求#17,Goal,Requirement,1.0
我需要无人机能够高空飞行并具备气象传感器,Defines,目标#18,User_Story,Goal,1.0
用户#18,Proposes,需求#18,User,Requirement,1.0
目标#18,Specifies,需求#18,Goal,Requirement,1.0
我希望无人机能够高空飞行并具备三维建模功能,Defines,目标#19,User_Story,Goal,1.0
用户#19,Proposes,需求#19,User,Requirement,1.0
目标#19,Specifies,需求#19,Goal,Requirement,1.0
我需要无人机具备远程控制和自主飞行能力,Defines,目标#20,User_Story,Goal,1.0
用户#20,Proposes,需求#20,User,Requirement,1.0
目标#20,Specifies,需求#20,Goal,Requirement,1.0
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,Defines,目标#21,User_Story,Goal,1.0
用户#21,Proposes,需求#21,User,Requirement,1.0
目标#21,Specifies,需求#21,Goal,Requirement,1.0
我需要无人机具备高度保持和稳定飞行的能力,Defines,目标#22,User_Story,Goal,1.0
用户#22,Proposes,需求#22,User,Requirement,1.0
目标#22,Specifies,需求#22,Goal,Requirement,1.0
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,Defines,目标#23,User_Story,Goal,1.0
用户#23,Proposes,需求#23,User,Requirement,1.0
目标#23,Specifies,需求#23,Goal,Requirement,1.0
我需要无人机能够在污染区域飞行，并搭载空气采样器,Defines,目标#24,User_Story,Goal,1.0
用户#24,Proposes,需求#24,User,Requirement,1.0
目标#24,Specifies,需求#24,Goal,Requirement,1.0
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,Defines,目标#25,User_Story,Goal,1.0
用户#25,Proposes,需求#25,User,Requirement,1.0
目标#25,Specifies,需求#25,Goal,Requirement,1.0
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,Defines,目标#26,User_Story,Goal,1.0
用户#26,Proposes,需求#26,User,Requirement,1.0
目标#26,Specifies,需求#26,Goal,Requirement,1.0
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,Defines,目标#27,User_Story,Goal,1.0
用户#27,Proposes,需求#27,User,Requirement,1.0
目标#27,Specifies,需求#27,Goal,Requirement,1.0
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,Defines,目标#28,User_Story,Goal,1.0
用户#28,Proposes,需求#28,User,Requirement,1.0
目标#28,Specifies,需求#28,Goal,Requirement,1.0
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,Defines,目标#29,User_Story,Goal,1.0
用户#29,Proposes,需求#29,User,Requirement,1.0
目标#29,Specifies,需求#29,Goal,Requirement,1.0
我需要无人机能够在海上飞行，并具备油污检测功能,Defines,目标#30,User_Story,Goal,1.0
用户#30,Proposes,需求#30,User,Requirement,1.0
